task_id,channel,intent,requester,payload,metadata,status,created_at
62884449-181c-4f19-b382-fe160206d725,system,publish_single,system_cron,"{""slots"":{},""intent"":""publish_single""}","{""source"":""system"",""chat_id"":""default"",""user_id"":""system_cron"",""raw_query"":"""",""timestamp"":""2026-02-04T09:03:49.886Z"",""entry_type"":""timeline"",""timeline_id"":""tl_test_001""}",pending,2026-02-04 09:03:49.886+00
787aaf16-552c-4ad4-a6b2-ac35bef51d18,telegram,ops_query,6129457001,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457001"",""user_id"":""6129457001"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-04T13:22:37.219Z"",""entry_type"":""raw_query""}",pending,2026-02-04 13:22:37.219+00
85f9a91f-a4d7-4357-8d35-b7ddff54988d,telegram,ops_query,100202,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""default"",""user_id"":""100202"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-04T13:24:57.992Z"",""entry_type"":""raw_query""}",pending,2026-02-04 13:24:57.992+00
8b9a754c-6dfc-440b-892d-f86d1141c62f,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-01T14:48:55.676Z""}",pending,2026-02-01 14:48:55.676+00
a4c7ce83-e1ef-45de-b70d-6c906b86c92d,admin_os,ops_query,test_user,"{""slots"":{""metric"":""TVL"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""test"",""user_id"":""test_user"",""raw_query"":""How much is TVL for USDC?"",""timestamp"":""2026-02-05T03:11:12.729Z"",""entry_type"":""raw_query""}",pending,2026-02-05 03:11:12.729+00
ad79b622-233a-4ead-82ba-6538658168e3,admin_os,ops_query,router_test_user,"{""slots"":{""metric"":""APY"",""is_fuzzy"":false,""time_range"":""current"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""router_test_001"",""user_id"":""router_test_user"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-07T12:52:25.438Z"",""entry_type"":""raw_query""}",pending,2026-02-07 12:52:25.438+00
b7afe6a1-b258-46a3-8b39-8c9d3194648d,admin_os,ops_query,6129457001,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457001"",""user_id"":""6129457001"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-04T09:17:57.244Z"",""entry_type"":""raw_query""}",pending,2026-02-04 09:17:57.244+00
c1a6f522-e66e-4381-a8a3-a6507b92acee,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""那 USDT 的呢？"",""timestamp"":""2026-02-01T15:13:49.907Z""}",pending,2026-02-01 15:13:49.907+00
ccfa9b7c-7c86-4fbb-9119-4a7ed7c484d4,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""Show me APY of USDC on Mopho"",""timestamp"":""2026-02-01T14:51:40.029Z""}",pending,2026-02-01 14:51:40.029+00
e646580b-5143-44bb-8373-83e451a3eb60,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""那 USDT 的呢？"",""timestamp"":""2026-02-01T15:39:27.077Z""}",pending,2026-02-01 15:39:27.077+00
ef3bc24a-8784-4529-b859-7f3a01165f8f,admin_os,ops_query,router_test_user,"{""slots"":{""metric"":""APY"",""is_fuzzy"":false,""time_range"":""current"",""vault_name"":""dForce USDC - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""router_test_001"",""user_id"":""router_test_user"",""raw_query"":""Show me the current APY for the USDC vault"",""timestamp"":""2026-02-06T13:33:36.728Z"",""entry_type"":""raw_query""}",pending,2026-02-06 13:33:36.728+00
f5160b29-655a-4a71-a57d-8eb93e0bd396,telegram,ops_query,6129457001,"{""slots"":{""metric"":""APY"",""network"":""arbitrum"",""vault_name"":""dForce USDT - Morpho - arbitrum""},""intent"":""ops_query""}","{""source"":""n8n_em_t2"",""chat_id"":""6129457001"",""user_id"":""6129457001"",""raw_query"":""那 USDT 的呢？"",""timestamp"":""2026-02-03T09:20:16.222Z"",""entry_type"":""raw_query""}",pending,2026-02-03 09:20:16.222+00
fff2145c-ee66-47e6-a29f-e62f0b106fc8,n8n_v2,unknown,716221804,"{""slots"":{},""intent"":""unknown""}","{""source"":""n8n_v2"",""chat_id"":""1149477108"",""user_id"":""716221804"",""raw_query"":""今天晚上吃什么？帮我点个披萨。"",""timestamp"":""2026-02-01T14:58:31.125Z""}",pending,2026-02-01 14:58:31.125+00
